"","field.choices","type","description"
"1","data_source","String","The source of this entry, either Data Broker (DBR) or USASpending (USA)"
"2","financial_accounts_by_awards_id","Integer","Internal primary key. Guaranteed to be unique."
"3","treasury_account","Nested Object","The treasury account for this entry"
"4","submission","Integer","The id of the submission which created this entity"
"5","award","Integer","The id of the award to which this entity is associated"
"6","program_activity_name","String",""
"7","program_activity_code","Nested Object",""
"8","object_class","Nested Object",""
"9","by_direct_reimbursable_funding_source","String",""
"10","piid","String",""
"11","parent_award_id","String",""
"12","fain","String",""
"13","uri","String",""
"14","award_type","String",""
"15","ussgl480100_undelivered_orders_obligations_unpaid_fyb","Float",""
"16","ussgl480100_undelivered_orders_obligations_unpaid_cpe","Float",""
"17","ussgl483100_undelivered_orders_oblig_transferred_unpaid_cpe","Float",""
"18","ussgl488100_upward_adjust_pri_undeliv_order_oblig_unpaid_cpe","Float",""
"19","ussgl490100_delivered_orders_obligations_unpaid_fyb","Float",""
"20","ussgl490100_delivered_orders_obligations_unpaid_cpe","Float",""
"21","ussgl493100_delivered_orders_oblig_transferred_unpaid_cpe","Float",""
"22","ussgl498100_upward_adjust_pri_deliv_orders_oblig_unpaid_cpe","Float",""
"23","ussgl480200_undelivered_orders_oblig_prepaid_advanced_fyb","Float",""
"24","ussgl480200_undelivered_orders_oblig_prepaid_advanced_cpe","Float",""
"25","ussgl483200_undeliv_orders_oblig_transferred_prepaid_adv_cpe","Float",""
"26","ussgl488200_up_adjust_pri_undeliv_order_oblig_ppaid_adv_cpe","Float",""
"27","ussgl490200_delivered_orders_obligations_paid_cpe","Float",""
"28","ussgl490800_authority_outlayed_not_yet_disbursed_fyb","Float",""
"29","ussgl490800_authority_outlayed_not_yet_disbursed_cpe","Float",""
"30","ussgl498200_upward_adjust_pri_deliv_orders_oblig_paid_cpe","Float",""
"31","obligations_undelivered_orders_unpaid_total_cpe","Float",""
"32","obligations_delivered_orders_unpaid_total_fyb","Float",""
"33","obligations_delivered_orders_unpaid_total_cpe","Float",""
"34","gross_outlays_undelivered_orders_prepaid_total_fyb","Float",""
"35","gross_outlays_undelivered_orders_prepaid_total_cpe","Float",""
"36","gross_outlays_delivered_orders_paid_total_fyb","Float",""
"37","gross_outlay_amount_by_award_fyb","Float",""
"38","gross_outlay_amount_by_award_cpe","Float",""
"39","obligations_incurred_total_by_award_cpe","Float",""
"40","ussgl487100_down_adj_pri_unpaid_undel_orders_oblig_recov_cpe","Float",""
"41","ussgl497100_down_adj_pri_unpaid_deliv_orders_oblig_recov_cpe","Float",""
"42","ussgl487200_down_adj_pri_ppaid_undel_orders_oblig_refund_cpe","Float",""
"43","ussgl497200_down_adj_pri_paid_deliv_orders_oblig_refund_cpe","Float",""
"44","deobligations_recoveries_refunds_of_prior_year_by_award_cpe","Float",""
"45","obligations_undelivered_orders_unpaid_total_fyb","Float",""
"46","gross_outlays_delivered_orders_paid_total_cpe","Float",""
"47","drv_award_id_field_type","String",""
"48","drv_obligations_incurred_total_by_award","Float",""
"49","reporting_period_start","Date",""
"50","reporting_period_end","Date",""
"51","last_modified_date","Date",""
"52","certified_date","Date",""
"53","create_date","Datetime",""
"54","update_date","Datetime",""
