"","field.choices","type","description"
"1","id","Integer","Internal primary key. Guaranteed to be unique."
"2","data_source","String","The source of this entry, either Data Broker (DBR) or USASpending (USA)"
"3","treasury_account_identifier","Relation",""
"4","submission","Relation",""
"5","budget_authority_unobligated_balance_brought_forward_fyb","Float",""
"6","adjustments_to_unobligated_balance_brought_forward_cpe","Float",""
"7","budget_authority_appropriated_amount_cpe","Float",""
"8","borrowing_authority_amount_total_cpe","Float",""
"9","contract_authority_amount_total_cpe","Float",""
"10","spending_authority_from_offsetting_collections_amount_cpe","Float",""
"11","other_budgetary_resources_amount_cpe","Float",""
"12","budget_authority_available_amount_total_cpe","Float",""
"13","gross_outlay_amount_by_tas_cpe","Float",""
"14","deobligations_recoveries_refunds_by_tas_cpe","Float",""
"15","unobligated_balance_cpe","Float",""
"16","status_of_budgetary_resources_total_cpe","Float",""
"17","obligations_incurred_total_by_tas_cpe","Float",""
"18","create_date","Datetime",""
"19","update_date","Datetime",""
"20","data_source","String","The source of this entry, either Data Broker (DBR) or USASpending (USA)"
"21","financial_accounts_by_program_activity_object_class_id","Integer","Internal primary key. Guaranteed to be unique."
"22","program_activity","Relation",""
"23","submission","Relation",""
"24","object_class","Relation",""
"25","treasury_account","Relation",""
"26","ussgl480100_undelivered_orders_obligations_unpaid_fyb","Float",""
"27","ussgl480100_undelivered_orders_obligations_unpaid_cpe","Float",""
"28","ussgl483100_undelivered_orders_oblig_transferred_unpaid_cpe","Float",""
"29","ussgl488100_upward_adjust_pri_undeliv_order_oblig_unpaid_cpe","Float",""
"30","ussgl490100_delivered_orders_obligations_unpaid_fyb","Float",""
"31","ussgl490100_delivered_orders_obligations_unpaid_cpe","Float",""
"32","ussgl493100_delivered_orders_oblig_transferred_unpaid_cpe","Float",""
"33","ussgl498100_upward_adjust_pri_deliv_orders_oblig_unpaid_cpe","Float",""
"34","ussgl480200_undelivered_orders_oblig_prepaid_advanced_fyb","Float",""
"35","ussgl480200_undelivered_orders_oblig_prepaid_advanced_cpe","Float",""
"36","ussgl483200_undeliv_orders_oblig_transferred_prepaid_adv_cpe","Float",""
"37","ussgl488200_up_adjust_pri_undeliv_order_oblig_ppaid_adv_cpe","Float",""
"38","ussgl490200_delivered_orders_obligations_paid_cpe","Float",""
"39","ussgl490800_authority_outlayed_not_yet_disbursed_fyb","Float",""
"40","ussgl490800_authority_outlayed_not_yet_disbursed_cpe","Float",""
"41","ussgl498200_upward_adjust_pri_deliv_orders_oblig_paid_cpe","Float",""
"42","obligations_undelivered_orders_unpaid_total_fyb","Float",""
"43","obligations_undelivered_orders_unpaid_total_cpe","Float",""
"44","obligations_delivered_orders_unpaid_total_fyb","Float",""
"45","obligations_delivered_orders_unpaid_total_cpe","Float",""
"46","gross_outlays_undelivered_orders_prepaid_total_fyb","Float",""
"47","gross_outlays_undelivered_orders_prepaid_total_cpe","Float",""
"48","gross_outlays_delivered_orders_paid_total_fyb","Float",""
"49","gross_outlays_delivered_orders_paid_total_cpe","Float",""
"50","gross_outlay_amount_by_program_object_class_fyb","Float",""
"51","gross_outlay_amount_by_program_object_class_cpe","Float",""
"52","obligations_incurred_by_program_object_class_cpe","Float",""
"53","ussgl487100_down_adj_pri_unpaid_undel_orders_oblig_recov_cpe","Float",""
"54","ussgl497100_down_adj_pri_unpaid_deliv_orders_oblig_recov_cpe","Float",""
"55","ussgl487200_down_adj_pri_ppaid_undel_orders_oblig_refund_cpe","Float",""
"56","ussgl497200_down_adj_pri_paid_deliv_orders_oblig_refund_cpe","Float",""
"57","deobligations_recoveries_refund_pri_program_object_class_cpe","Float",""
"58","drv_obligations_incurred_by_program_object_class","Float",""
"59","drv_obligations_undelivered_orders_unpaid","Float",""
"60","reporting_period_start","Date",""
"61","reporting_period_end","Date",""
"62","last_modified_date","Date",""
"63","certified_date","Date",""
"64","create_date","Datetime",""
"65","update_date","Datetime",""
