"","field.choices","type","description"
"1","id","Integer","Internal primary key. Guaranteed to be unique."
"2","data_source","String","The source of this entry, either Data Broker (DBR) or USASpending (USA)"
"3","treasury_account","Relation",""
"4","program_activity","Relation",""
"5","object_class","Relation",""
"6","submission","Relation",""
"7","ussgl480100_undelivered_orders_obligations_unpaid_fyb","Float",""
"8","ussgl480100_undelivered_orders_obligations_unpaid_cpe","Float",""
"9","ussgl483100_undelivered_orders_oblig_transferred_unpaid_cpe","Float",""
"10","ussgl488100_upward_adjust_pri_undeliv_order_oblig_unpaid_cpe","Float",""
"11","ussgl490100_delivered_orders_obligations_unpaid_fyb","Float",""
"12","ussgl490100_delivered_orders_obligations_unpaid_cpe","Float",""
"13","ussgl493100_delivered_orders_oblig_transferred_unpaid_cpe","Float",""
"14","ussgl498100_upward_adjust_pri_deliv_orders_oblig_unpaid_cpe","Float",""
"15","ussgl480200_undelivered_orders_oblig_prepaid_advanced_fyb","Float",""
"16","ussgl480200_undelivered_orders_oblig_prepaid_advanced_cpe","Float",""
"17","ussgl483200_undeliv_orders_oblig_transferred_prepaid_adv_cpe","Float",""
"18","ussgl488200_up_adjust_pri_undeliv_order_oblig_ppaid_adv_cpe","Float",""
"19","ussgl490200_delivered_orders_obligations_paid_cpe","Float",""
"20","ussgl490800_authority_outlayed_not_yet_disbursed_fyb","Float",""
"21","ussgl490800_authority_outlayed_not_yet_disbursed_cpe","Float",""
"22","ussgl498200_upward_adjust_pri_deliv_orders_oblig_paid_cpe","Float",""
"23","obligations_undelivered_orders_unpaid_total_fyb","Float",""
"24","obligations_undelivered_orders_unpaid_total_cpe","Float",""
"25","obligations_delivered_orders_unpaid_total_fyb","Float",""
"26","obligations_delivered_orders_unpaid_total_cpe","Float",""
"27","gross_outlays_undelivered_orders_prepaid_total_fyb","Float",""
"28","gross_outlays_undelivered_orders_prepaid_total_cpe","Float",""
"29","gross_outlays_delivered_orders_paid_total_fyb","Float",""
"30","gross_outlays_delivered_orders_paid_total_cpe","Float",""
"31","gross_outlay_amount_by_program_object_class_fyb","Float",""
"32","gross_outlay_amount_by_program_object_class_cpe","Float",""
"33","obligations_incurred_by_program_object_class_cpe","Float",""
"34","ussgl487100_down_adj_pri_unpaid_undel_orders_oblig_recov_cpe","Float",""
"35","ussgl497100_down_adj_pri_unpaid_deliv_orders_oblig_recov_cpe","Float",""
"36","ussgl487200_down_adj_pri_ppaid_undel_orders_oblig_refund_cpe","Float",""
"37","ussgl497200_down_adj_pri_paid_deliv_orders_oblig_refund_cpe","Float",""
"38","deobligations_recoveries_refund_pri_program_object_class_cpe","Float",""
"39","create_date","Datetime",""
"40","update_date","Datetime",""
