"","field.choices","type","description"
"1","financial_set","Nested Object","An array of objects containing data from Financial Accounts (by Award) for which this award is the parent"
"2","child_award","Nested Object","An array of objects containing data from this endpoint, representing child awards of this award"
"3","transaction","Nested Object","An array of transactions for which this award is the parent"
"4","subaward","Nested Object","An array of subawards (NOT YET IMPLEMENTED) for which this award is the parent"
"5","id","Integer","Internal primary key. Guaranteed to be unique."
"6","data_source","String","The source of this entry, either Data Broker (DBR) or USASpending (USA)"
"7","type","String","The mechanism used to distribute funding. The federal government can distribute funding in several forms. These award types include contracts, grants, loans, and direct payments."
"8","type_description","String","The plain text description of the type of the award"
"9","piid","String","Procurement Instrument Identifier - A unique identifier assigned to a federal contract, purchase order, basic ordering agreement, basic agreement, and blanket purchase agreement. It is used to track the contract, and any modifications or transactions related to it. After October 2017, it is between 13 and 17 digits, both letters and numbers."
"10","parent_award","Integer","The parent award's id, if applicable"
"11","fain","String","An identification code assigned to each financial assistance award tracking purposes. The FAIN is tied to that award (and all future modifications to that award) throughout the award’s life. Each FAIN is assigned by an agency. Within an agency, FAIN are unique: each new award must be issued a new FAIN. FAIN stands for Federal Award Identification Number, though the digits are letters, not numbers."
"12","uri","String","The uri of the award"
"13","total_obligation","Float","The amount of money the government is obligated to pay for the award"
"14","total_outlay","Float","The total amount of money paid out for this award"
"15","awarding_agency","Nested Object","The awarding agency for the award"
"16","funding_agency","Nested Object","The funding agency for the award"
"17","date_signed","Date","The date the award was signed"
"18","recipient","Nested Object","The recipient of the award"
"19","description","String","A description of the award"
"20","period_of_performance_start_date","Date","The start date for the period of performance"
"21","period_of_performance_current_end_date","Date","The current, not original, period of performance end date"
"22","place_of_performance","Nested Object","The principal place of business, where the majority of the work is performed. For example, in a manufacturing contract, this would be the main plant where items are produced. The nested object uses the fields from locations"
"23","potential_total_value_of_award","Float","The sum of the potential_value_of_award from associated transactions"
"24","last_modified_date","Date","The date this award was last modified"
"25","certified_date","Date","The date this record was certified"
"26","create_date","Datetime","The date this record was created in the API"
"27","update_date","Datetime","The last time this record was updated in the API"
"28","latest_transaction","Nested Object","The latest transaction by action_date associated with this award"
