"","field.choices","type","description"
"1","data_source","String","The source of this entry, either Data Broker (DBR) or USASpending (USA)"
"2","program_number","String","Internal primary key. Guaranteed to be unique."
"3","program_title","String",""
"4","popular_name","String",""
"5","federal_agency","String",""
"6","authorization","String",""
"7","objectives","String",""
"8","types_of_assistance","String",""
"9","uses_and_use_restrictions","String",""
"10","applicant_eligibility","String",""
"11","beneficiary_eligibility","String",""
"12","credentials_documentation","String",""
"13","pre_application_coordination","String",""
"14","application_procedures","String",""
"15","award_procedure","String",""
"16","deadlines","String",""
"17","range_of_approval_disapproval_time","String",""
"18","website_address","String",""
"19","formula_and_matching_requirements","String",""
"20","length_and_time_phasing_of_assistance","String",""
"21","reports","String",""
"22","audits","String",""
"23","records","String",""
"24","account_identification","String",""
"25","obligations","String",""
"26","range_and_average_of_financial_assistance","String",""
"27","appeals","String",""
"28","renewals","String",""
"29","program_accomplishments","String",""
"30","regulations_guidelines_and_literature","String",""
"31","regional_or_local_office","String",""
"32","headquarters_office","String",""
"33","related_programs","String",""
"34","examples_of_funded_projects","String",""
"35","criteria_for_selecting_proposals","String",""
"36","url","String",""
"37","recovery","String",""
"38","omb_agency_code","String",""
"39","omb_bureau_code","String",""
"40","published_date","String",""
"41","archived_date","String",""
"42","create_date","Datetime",""
"43","update_date","Datetime",""
