"","field.choices","type","description"
"1","legalentity","Nested Object","Array of recipients located at this location"
"2","award","Nested Object","An array of awards for which this location is the place of performance"
"3","transaction","Nested Object","An array of transaction for which this location is the place of performance"
"4","data_source","String","The source of this entry, either Data Broker (DBR) or USASpending (USA)"
"5","location_id","Integer","Internal primary key. Guaranteed to be unique."
"6","location_country_code","Relation",""
"7","country_name","String",""
"8","state_code","String",""
"9","state_name","String",""
"10","state_description","String",""
"11","city_name","String",""
"12","city_code","String",""
"13","county_name","String",""
"14","county_code","String",""
"15","address_line1","String",""
"16","address_line2","String",""
"17","address_line3","String",""
"18","foreign_location_description","String",""
"19","zip4","String",""
"20","zip_4a","String",""
"21","congressional_code","String",""
"22","performance_code","String",""
"23","zip_last4","String",""
"24","zip5","String",""
"25","foreign_postal_code","String",""
"26","foreign_province","String",""
"27","foreign_city_name","String",""
"28","reporting_period_start","Date",""
"29","reporting_period_end","Date",""
"30","last_modified_date","Date",""
"31","certified_date","Date",""
"32","create_date","Datetime",""
"33","update_date","Datetime",""
"34","place_of_performance_flag","BooleanField",""
"35","recipient_flag","BooleanField",""
