"","field.choices","type","description"
"1","data_source","String","The source of this entry, either Data Broker (DBR) or USASpending (USA)"
"2","legal_entity_id","Integer","Internal primary key. Guaranteed to be unique."
"3","location","Nested Objects","The location of this recipient"
"4","parent_recipient_unique_id","String",""
"5","recipient_name","String",""
"6","vendor_doing_as_business_name","String",""
"7","vendor_phone_number","String",""
"8","vendor_fax_number","String",""
"9","business_types","String",""
"10","business_types_description","String",""
"11","recipient_unique_id","String",""
"12","limited_liability_corporation","String",""
"13","sole_proprietorship","String",""
"14","partnership_or_limited_liability_partnership","String",""
"15","subchapter_scorporation","String",""
"16","foundation","String",""
"17","for_profit_organization","String",""
"18","nonprofit_organization","String",""
"19","corporate_entity_tax_exempt","String",""
"20","corporate_entity_not_tax_exempt","String",""
"21","other_not_for_profit_organization","String",""
"22","sam_exception","String",""
"23","city_local_government","String",""
"24","county_local_government","String",""
"25","inter_municipal_local_government","String",""
"26","local_government_owned","String",""
"27","municipality_local_government","String",""
"28","school_district_local_government","String",""
"29","township_local_government","String",""
"30","us_state_government","String",""
"31","us_federal_government","String",""
"32","federal_agency","String",""
"33","federally_funded_research_and_development_corp","String",""
"34","us_tribal_government","String",""
"35","foreign_government","String",""
"36","community_developed_corporation_owned_firm","String",""
"37","labor_surplus_area_firm","String",""
"38","small_agricultural_cooperative","String",""
"39","international_organization","String",""
"40","us_government_entity","String",""
"41","emerging_small_business","String",""
"42","c8a_program_participant","String",""
"43","sba_certified_8a_joint_venture","String",""
"44","dot_certified_disadvantage","String",""
"45","self_certified_small_disadvantaged_business","String",""
"46","historically_underutilized_business_zone","String",""
"47","small_disadvantaged_business","String",""
"48","the_ability_one_program","String",""
"49","historically_black_college","String",""
"50","c1862_land_grant_college","String",""
"51","c1890_land_grant_college","String",""
"52","c1994_land_grant_college","String",""
"53","minority_institution","String",""
"54","private_university_or_college","String",""
"55","school_of_forestry","String",""
"56","state_controlled_institution_of_higher_learning","String",""
"57","tribal_college","String",""
"58","veterinary_college","String",""
"59","educational_institution","String",""
"60","alaskan_native_servicing_institution","String",""
"61","community_development_corporation","String",""
"62","native_hawaiian_servicing_institution","String",""
"63","domestic_shelter","String",""
"64","manufacturer_of_goods","String",""
"65","hospital_flag","String",""
"66","veterinary_hospital","String",""
"67","hispanic_servicing_institution","String",""
"68","woman_owned_business","String",""
"69","minority_owned_business","String",""
"70","women_owned_small_business","String",""
"71","economically_disadvantaged_women_owned_small_business","String",""
"72","joint_venture_women_owned_small_business","String",""
"73","joint_venture_economic_disadvantaged_women_owned_small_bus","String",""
"74","veteran_owned_business","String",""
"75","service_disabled_veteran_owned_business","String",""
"76","contracts","String",""
"77","grants","String",""
"78","receives_contracts_and_grants","String",""
"79","airport_authority","String",""
"80","council_of_governments","String",""
"81","housing_authorities_public_tribal","String",""
"82","interstate_entity","String",""
"83","planning_commission","String",""
"84","port_authority","String",""
"85","transit_authority","String",""
"86","foreign_owned_and_located","String",""
"87","american_indian_owned_business","String",""
"88","alaskan_native_owned_corporation_or_firm","String",""
"89","indian_tribe_federally_recognized","String",""
"90","native_hawaiian_owned_business","String",""
"91","tribally_owned_business","String",""
"92","asian_pacific_american_owned_business","String",""
"93","black_american_owned_business","String",""
"94","hispanic_american_owned_business","String",""
"95","native_american_owned_business","String",""
"96","subcontinent_asian_asian_indian_american_owned_business","String",""
"97","other_minority_owned_business","String",""
"98","us_local_government","String",""
"99","undefinitized_action","String",""
"100","domestic_or_foreign_entity","String",""
"101","division_name","String",""
"102","division_number","String",""
"103","last_modified_date","Date",""
"104","certified_date","Date",""
"105","reporting_period_start","Date",""
"106","reporting_period_end","Date",""
"107","create_date","Datetime",""
"108","update_date","Datetime",""
"109","city_township_government","String",""
"110","special_district_government","String",""
"111","small_business","String",""
"112","individual","String",""
