"","field.choices","type","description"
"1","data_source","String","The source of this entry, either Data Broker (DBR) or USASpending (USA)"
"2","transaction","Nested Object","The transaction for which this is the assistance data"
"3","submission","Integer","The id of the submission which created this entity"
"4","fain","String",""
"5","uri","String",""
"6","cfda_number","String",""
"7","cfda_title","String",""
"8","cfda","Nested Object","The CFDA program associated with this transaction"
"9","business_funds_indicator","String",""
"10","non_federal_funding_amount","Float",""
"11","total_funding_amount","Float",""
"12","face_value_loan_guarantee","Float",""
"13","original_loan_subsidy_cost","Float",""
"14","record_type","IntegerField",""
"15","correction_late_delete_indicator","String",""
"16","fiscal_year_and_quarter_correction","String",""
"17","sai_number","String",""
"18","drv_federal_funding_amount","Float",""
"19","drv_award_finance_assistance_type_label","String",""
"20","reporting_period_start","Date",""
"21","reporting_period_end","Date",""
"22","last_modified_date","Date",""
"23","submitted_type","String",""
"24","certified_date","Date",""
"25","create_date","Datetime",""
"26","update_date","Datetime",""
"27","period_of_performance_start_date","Date",""
"28","period_of_performance_current_end_date","Date",""
