"","field.choices","type","description"
"1","financialaccountsbyawards","Nested Object","Array of financial accounts (by award) assosciated to this account_title"
"2","account_balances","Nested Object","Array of appropriation account balances assosciated with this account"
"3","program_balances","Nested Object","Array of financial accounts (by program activity and object class) assosciated with this account"
"4","data_source","String","The source of this entry, either Data Broker (DBR) or USASpending (USA)"
"5","treasury_account_identifier","Integer","Internal primary key. Guaranteed to be unique."
"6","tas_rendering_label","String",""
"7","allocation_transfer_agency_id","String",""
"8","agency_id","String",""
"9","beginning_period_of_availability","String",""
"10","ending_period_of_availability","String",""
"11","availability_type_code","String",""
"12","main_account_code","String",""
"13","sub_account_code","String",""
"14","account_title","String",""
"15","reporting_agency_id","String",""
"16","reporting_agency_name","String",""
"17","budget_bureau_code","String",""
"18","budget_bureau_name","String",""
"19","fr_entity_code","String",""
"20","fr_entity_description","String",""
"21","budget_function_code","String",""
"22","budget_function_title","String",""
"23","budget_subfunction_code","String",""
"24","budget_subfunction_title","String",""
"25","drv_appropriation_availability_period_start_date","Date",""
"26","drv_appropriation_availability_period_end_date","Date",""
"27","drv_appropriation_account_expired_status","String",""
"28","create_date","Datetime",""
"29","update_date","Datetime",""
