"","id","program_number","program_title","popular_name","objectives","website_address"
"1",1,"10.001","Agricultural Research_Basic and Applied Research","(Extramural Research)","To make agricultural research discoveries, evaluate alternative ways of attaining research goals, and provide scientific technical information.","http://www.ars.usda.gov"
"2",2,"10.025","Plant and Animal Disease, Pest Control, and Animal Care","","To protect U.S. agriculture from economically injurious plant and animal diseases and pests, ensure the safety and potency of veterinary biologic, and ensure the humane treatment of animals.","http://www.aphis.usda.gov/"
"3",3,"10.028","Wildlife Services","","To reduce damage caused by mammals and birds and those mammal and bird species that are reservoirs for zoonotic diseases, (except for urban rodent control through control and research activities).  Wherever feasible, humane methods will be emphasized.","http://www.aphis.usda.gov"
"4",4,"10.030","Indemnity Program","","Animal and Plant Health Inspection Service administers regulations at 9 CFR parts 50 to 54 that authorizes payment for indemnities.  This authority covers a wide variety of indemnity situations ranging from large livestock depopulations to small fowl depopulations, and there are various indemnity calculations and processes for determining the indemnity value for each specific species.  The Secretary of Agriculture offers an opinion that constitutes an emergency and threatens the U.S. animal population.  Payment for the destroyed animals is based on fair market value.  Also, under Section 415 (e) of the Plant Protection Act (Title IV of Public Law 106-224), under a declaration of extraordinary emergency because of the presence of a plant pest or noxious weed that is new to or not known to be widely prevalent in the United States, the Secretary may pay compensation for economic losses incurred by as a result of actions taken under the authorities in this section (415).","No Data Available"
"5",5,"10.051","Commodity Loans and Loan Deficiency Payments","Marketing Assistance Loans (MAL's) and Loan Deficiency Payments LDP's)","To improve and stabilize farm income, to assist in bringing about a better balance between supply and demand of the commodities, and to assist farmers in the orderly marketing of their crops.","http://www.fsa.usda.gov/programs-and-services/price-support/Index"
"6",6,"10.053","Dairy Indemnity Program","DIPP","To protect dairy farmers and manufacturers of dairy products who through no fault of their own, are directed to remove their milk or dairy products from commercial markets because of contamination from pesticides which have been approved for use by the Federal government.  Dairy farmers can also be indemnified because of contamination with chemicals or toxic substances, nuclear radiation or fallout.","http://www.fsa.usda.gov/programs-and-services/price-support/Index"
"7",7,"10.054","Emergency Conservation Program","(ECP)","To enable farmers to perform emergency conservation measures to control wind erosion on farmlands, to rehabilitate farmlands damaged by wind erosion, floods, hurricanes, or other natural disasters and to carry out emergency water conservation or water enhancing measures during periods of severe drought.","http://www.fsa.usda.gov/programs-and-services/conservation-programs/emergency-conservation/index"
"8",8,"10.055","Direct and Counter-cyclical Payments Program","(DCP)","To provide income support to eligible producers of covered commodities.","http://www.fsa.usda.gov/programs-and-services/dccp-acre/index"
"9",9,"10.056","Farm Storage Facility Loans","FSFL","The Farm Storage Facility Loan (FSFL) Program provides low-interest financing for producers to build, upgrade, or acquire farm storage and handling facilities, storage and handling equipment and trucks. The following commodities are eligible for on-farm storage, drying and handling equipment: corn, grain sorghum, rice, soybeans, oats, peanuts, wheat, barley, or minor oilseeds harvested as whole grain; corn, grain sorghum, wheat, oats or barley harvested as other-than-whole grain; pulse crops (lentils, chickpeas and dry peas); hay; honey; renewable biomass; fruits (includes nuts) and vegetables - cold storage facilities; aquaculture (excluding systems that maintain live animals through uptake and discharge of water); floriculture; hops; milk; rye; meat and poultry (unprocessed); eggs; cheese, butter and yogurt.

The loan must be approved by the local FSA state or county committee before any site preparation, construction, and/or acquisition can be started. All loan requests are subject to an environmental evaluation. Accepting delivery of equipment, starting any site preparation, or construction before loan approval, may impede the successful completion of an environmental evaluation and may adversely affect loan eligibility.","http://www.fsa.usda.gov/FSA/webapp?area=home&subject=prsu&topic=flp"
"10",10,"10.069","Conservation Reserve Program","(CRP)","To protect the Nation's long-term capability to produce food and fiber; to reduce soil erosion and sedimentation, improve water quality, and create or enhance habitat for wildlife.","http://www.fsa.usda.gov/programs-and-services/conservation-programs/conservation-reserve-program/index"
"11",11,"10.072","Wetlands Reserve Program","(WRP)","To assist landowners in restoring and protecting wetlands on eligible lands on which they agree to enter into a permanent or 30-year long-term easement (30-year contract for Indian Tribes), or a restoration cost-share agreement with the Secretary. The goal of WRP is to maximize wetland functions and values and wildlife benefits on every acre enrolled in the program.","http://www.nrcs.usda.gov/wps/portal/nrcs/main/national/programs/easements/wetlands/"
"12",12,"10.098","Reimbursement Transportation Cost Payment Program for Geographically Disadvantaged Farmers and Ranchers","(RTCP)","The intended goal of the program is to provide direct reimbursement payments to a geographically disadvantaged farmer or rancher who transports an agricultural commodity, or inputs used to produce an agricultural commodity during a fiscal year.  Input transportation cost are transportation costs of inputs used to produce an agricultural commodity including, but not limited to, air, ocean, and land freight of chemicals, feed, fertilizer, fuel, seeds, plants, supplies, equipment parts, and other inputs.

The Farm Service Agency (FSA), Deputy Administrator for Farm Programs (DAFP) administers RTCP.  The program will be carried out in the field by FSA State and county committee and FSA employees.  State and local governments and their political subdivisions and related agencies are not eligible for RTCP payments.","http://www.fsa.usda.gov/programs-and-services/price-support/RTCP-Program/index"
"13",13,"10.080","Milk Income Loss Contract Program ","(MILC)","To maintain and expand existing markets for dairy which are vital to the welfare of milk producers in the United States. Payments under this program will be limited to dairy operations that produced milk in the United States and commercially marketed milk during the period of October 1, 2007 through September 30, 2013.","http://www.fsa.usda.gov"
"14",14,"10.087","Biomass Crop Assistance Program","(BCAP)","The purpose of BCAP is to encourage the production of biofuels.  BCAP accomplishes this by providing funding for agricultural and forest land owners and operators to receive matching payments for certain eligible material sold to qualified biomass conversion facilities for conversion to heat, power, bio based products, or advanced biofuels.  It also provides funding for producers of eligible crops of renewable biomass within specified project areas to receive establishment payments and annual payments.","http://www.fsa.usda.gov/bcap"
